results,dba_name,license_number,inspection_date,facility_type,risk,zip,latitude,longitude,v_cumsum,v_cumsum_cs
Fail,DONA TOLA,2684259,01/02/2020,Restaurant,1,60613,41.95034913354049,-87.66396116151019,0,0
Pass,KIKKA @ WHOLE FOODS STREETERVILLE,2373596,01/03/2018,Restaurant,1,60611,41.891689839806666,-87.62044413482636,0,0
Pass,WALGREENS # 09001,1542416,01/03/2018,Grocery Store,3,60601,41.88549078428762,-87.63082227177384,0,0
Fail,Gin Sen,2863232,01/03/2023,Restaurant,1,60647,41.91949090356442,-87.67783010976112,7,2
Pass,"LOS ARCOS AUTHENTIC MEXICAN FOOD, INC.",2886566,01/03/2023,Restaurant,1,60640,41.982461137454926,-87.66839934788841,0,0
Pass,"LOS ARCOS AUTHENTIC MEXICAN FOOD, INC.",2886567,01/03/2023,Restaurant,1,60640,41.982461137454926,-87.66839934788841,0,0
Pass,"LOS ARCOS AUTHENTIC MEXICAN FOOD, INC.",2232454,01/03/2023,Restaurant,1,60640,41.982461137454926,-87.66839934788841,1,0
Pass,Dunkin Donuts,2202879,01/04/2013,Restaurant,2,60622,41.91796074174603,-87.67270436980655,0,0
Pass,HIM SHIKAR,2147560,01/04/2018,Restaurant,1,60646,41.99081932749717,-87.74818192225709,1,0
Pass,SUBWAY,1573944,01/04/2022,Restaurant,1,60622,41.905131758861906,-87.66768922073551,1,0
Fail,SHOP-N-SAVE,2767279,01/04/2023,Grocery Store,2,60619,41.765501123078735,-87.62017368759007,13,3
Pass,ROTI MODERN MEDITERRANEAN,2470641,01/04/2023,Restaurant,1,60601,41.885847208704554,-87.62509485736301,1,0
Pass,DON PABLO'S KITCHEN AND BAKESHOP,2822972,01/04/2023,Restaurant,1,60640,41.97319805257552,-87.65524806242914,7,0
Pass,SWEET MAPLE CAFE,76798,01/04/2023,Restaurant,1,60607,41.869242742082626,-87.66079656924279,4,0
Fail,BIG BOSS SPICY FRIED CHICKEN,2807954,01/04/2023,Restaurant,1,60608,41.84638121795965,-87.64661301435865,16,4
Fail,STEVE'S LOUNGE,833,01/04/2023,Restaurant,1,60633,41.655416650555715,-87.54729079495272,19,1
Fail,STARBUCKS COFFEE #47362,2766559,01/04/2023,Restaurant,2,60608,41.83773645864835,-87.64641676369209,2,1
Pass,MCDONALDS,2882419,01/04/2023,Restaurant,2,60629,41.78889143422201,-87.70327959216557,0,0
Pass,AL - JOUD INVESTMENT,2882673,01/04/2023,Grocery Store,3,60651,41.902468382006454,-87.7264432559915,6,1
Fail,SAVE A LOT,2830633,01/04/2023,Grocery Store,2,60628,41.69954741466738,-87.64275191512002,6,1
Fail,CHAYHANA,2442858,01/04/2023,Restaurant,1,60618,41.95394859951932,-87.68539017232962,10,2
Pass,TARGET STORE T3349,2723527,01/04/2023,Grocery Store,3,60614,41.921779974420936,-87.64366314188526,3,0
Fail,PORKCHOP RESTAURANT AND BAR,2851433,01/04/2023,Restaurant,1,60660,41.997594186195435,-87.66034486500234,10,3
Fail,SUPERMERCADO LA RAZA CORP,2767138,01/04/2023,Grocery Store,1,60609,41.80847785608591,-87.66674535125476,6,2
Fail,PHLOUR BAKERY AND CAFE,2522179,01/04/2023,Bakery,1,60660,41.98373915183195,-87.65964672940271,4,2
Fail,SWEETGREEN,2886570,01/04/2023,Restaurant,1,60647,41.92673659835983,-87.70382782692913,1,0
Pass,EVERYDAY FRIDAY DEALS CHICAGO INC.,2886532,01/04/2023,Grocery Store,3,60639,41.9311212237607,-87.76955418373417,2,0
Fail,O'LEARY'S PUBLIC HOUSE,32939,01/04/2023,Restaurant,1,60654,41.89198922796648,-87.63393057860532,11,3
Fail,7- ELEVEN,46905,01/04/2023,Grocery Store,2,60605,41.87448116568133,-87.62935653990546,4,2
Fail,"SUPERMERCADO SANCHEZ, INC.",1648074,01/04/2023,Grocery Store,1,60629,41.78649619589489,-87.69475632036104,2,0
Pass,JIMMY JOHN'S,2463579,01/04/2023,Restaurant,1,60657,41.942396126778384,-87.65282389448343,4,0
Pass,"HING WANG, INC",1942312,01/04/2023,Restaurant,1,60640,41.96549804345954,-87.65832493927576,4,0
Pass,FLO & SANTO,2355411,01/04/2023,Restaurant,1,60605,41.86539975663988,-87.62593556962943,5,1
Pass,LOS ASADORES MEXICAN GRILL,2689613,01/04/2023,Restaurant,1,60625,41.97582181741593,-87.71172940864518,1,0
Pass,RED & WHITE WINES,2457409,01/04/2023,Restaurant,1,60647,41.91537964796298,-87.68473893840267,4,1
Fail,SHERI & JAMES FOOD MART,2882312,01/04/2023,Grocery Store,3,60651,41.90547420777515,-87.71161567739858,2,2
Fail,EINSTEIN BROS. BAGELS #3505,1904661,01/04/2023,Restaurant,1,60654,41.88926952817214,-87.62973533104446,12,2
Fail,GODDESS AND THE BAKER,2476370,01/04/2023,Restaurant,1,60601,41.886706472621086,-87.63174094543632,4,2
Fail,LITTLE CAESAR PIZZA #1650,2221,01/04/2023,Restaurant,2,60608,41.839488997116675,-87.64646085648725,3,1
Pass,DUNKIN DONUTS/BASKIN ROBBINS,2246679,01/04/2023,Restaurant,2,60647,41.91172836810168,-87.68711088184462,2,0
Pass,BORDEAUX LOUNGE BY TURQUOISE,2657949,01/04/2023,Restaurant,1,60618,41.94305483117927,-87.68273539578196,6,0
Pass,"LAWRENCE'S FISHERIES, INC.",3320,01/04/2023,Restaurant,1,60616,41.85370199736114,-87.63870832843236,1,0
Pass,THE BREAKFAST CLUB INC,12587,01/04/2023,Restaurant,1,60642,41.8898328600129,-87.662167834679,10,0
Fail,WINGS OVER CANAL,2501494,01/04/2023,Restaurant,1,60607,41.867362692616666,-87.63929319464197,6,0
Fail,D'AGOSTINO'S II,1305825,01/04/2023,Restaurant,1,60642,41.89558430998033,-87.65538895169536,10,3
Fail,GOLDEN GRAIN BAKERY AND DONUTS CORPORATION,2288717,01/04/2023,Restaurant,1,60625,41.968518497633795,-87.71263165748292,2,0
Pass,SUBWAY,1964058,01/04/2023,Restaurant,1,60643,41.67761612849284,-87.66316025686356,1,0
Pass,CARNICERIA RUIZ INC,31999,01/04/2023,Grocery Store,1,60618,41.935791573062026,-87.70738433276505,5,0
Fail,YUMMY THAI,2822782,01/04/2023,Restaurant,1,60607,41.869436666300544,-87.66247601980271,12,2
Pass,Lou Malnati's Pizzeria,1042399,01/04/2023,Restaurant,1,60614,41.92911994883241,-87.65359186197217,3,0
Pass,BABA JOE'S,2876870,01/04/2023,Grocery Store,3,60625,41.96844268351419,-87.71969561484795,0,0
Pass,NICKY'S HOT DOGS,68304,01/04/2023,Restaurant,1,60632,41.80961441468273,-87.7235017087537,1,0
Fail,PRIME & PROVISIONS,2780952,01/04/2023,Restaurant,1,60601,41.886351604488574,-87.63261394551859,7,1
Fail,NEW SUNNY SUB & FISH INC.,2464777,01/04/2023,Restaurant,2,60619,41.76581937535938,-87.61534676528679,7,1
Pass,G N P H #TWO INC,37911,01/04/2023,Restaurant,1,60640,41.96871895265764,-87.67359188435232,5,2
Pass,SUBWAY,2446619,01/04/2023,Restaurant,1,60636,41.76789331709745,-87.6640189682719,4,0
Fail,OBAMA FOOD MART,2004238,01/05/2010,Grocery Store,3,60649,41.75165523778611,-87.58082842408824,0,0
Fail,MONICA'S SWEET POTATOES,1804213,01/05/2011,Restaurant,1,60653,41.809316524975266,-87.61379035901513,9,2
Fail,KINGSTON MINES,1650,01/05/2011,Restaurant,1,60614,41.92872347700267,-87.64902257806406,10,1
Pass,FRESHII,2138647,01/05/2015,Restaurant,1,60603,41.88066457839605,-87.6270893644417,1,0
Pass,KAWA FOODS,2373814,01/05/2015,Grocery Store,1,60612,41.88106937422222,-87.68530755272025,0,0
Pass,PRET A MANGER,2103296,01/05/2016,Restaurant,1,60603,41.88059104764139,-87.6305091299425,0,0
Pass,EL AZTECA,2483311,01/05/2018,Restaurant,1,60639,41.924059105725746,-87.75172800437389,0,0
Pass,J & C FOOD MARKET INC,1227762,01/05/2023,Grocery Store,1,60618,41.953963260566255,-87.71313765408152,5,1
Pass,EUREST DINING AT BROOKFIELD PROPERTIES,2881882,01/05/2023,Restaurant,2,60602,41.883328409152504,-87.62705900255914,0,0
Pass,SUBWAY,2529116,01/05/2023,Restaurant,1,60639,41.92799528871574,-87.78575236468352,0,0
Fail,Cozy Corner Restaurant and Pancake House,2631798,01/05/2023,Restaurant,1,60656,41.979836274250594,-87.8071274172471,4,1
Pass,THE BURGER POINT,2458622,01/05/2023,Restaurant,1,60616,41.856494443726604,-87.627317220209,4,0
Fail,PRIME FISH,2463968,01/05/2023,Restaurant,1,60620,41.74810405559482,-87.64411513161956,5,2
Fail,POTBELLY SANDWICH WORKS LLC,1543762,01/05/2023,Restaurant,1,60607,41.86919159569781,-87.66401334265312,6,0
Pass,TAQUERIA CHINGON LLC,2886300,01/05/2023,Restaurant,1,60647,41.92265069127367,-87.68771967162458,0,0
Fail,WHOLE FOODS MARKET,1933690,01/05/2023,Grocery Store,1,60642,41.90939878780941,-87.65305069789407,8,1
Fail,CHIPOTLE MEXICAN GRILL #3430,2670644,01/05/2023,Restaurant,1,60605,41.86797982367172,-87.62598154133049,3,0
Pass,"BAHA RESTAURANT, INC.",2602031,01/05/2023,Restaurant,1,60639,41.93162026012076,-87.74832456297335,0,0
Fail,"BAI CAFE, INC.",2078772,01/05/2023,Restaurant,1,60657,41.94360207196127,-87.66891732656353,11,3
Pass,CAPITAL ONE CAFE,2882586,01/05/2023,Restaurant,1,60615,41.79943293964355,-87.58923799532896,0,0
Fail,JIMMY JOHNS,2767073,01/05/2023,Restaurant,1,60654,41.895062395602416,-87.62801032492992,8,3
Fail,RED LOBSTER #0277,2333153,01/05/2023,Restaurant,1,60632,41.79850994776847,-87.72316542310595,6,2
Pass,EUREST DINING AT BROOKFIELD PROPERTIES,2881884,01/05/2023,Restaurant,2,60602,41.883328409152504,-87.62705900255914,0,0
Fail,PAT'S PIZZA,1817276,01/05/2023,Restaurant,1,60605,41.87396103697072,-87.63080445228692,6,1
